country,winter,season,metric,value,anom,anom_dt,n_sites,group,oni_djf
DK,1963,DJF,precip_days,18.667,-15.184,-12.044,3,neutral,-0.330
DK,1963,DJF,thaw_days,34.000,-38.973,-39.278,2,neutral,-0.330
DK,1963,DJF,tmax_mean,-0.478,-4.082,-3.458,2,neutral,-0.330
DK,1963,DJF,tmean,-2.947,,-3.869,2,neutral,-0.330
DK,1963,DJF,tmin_mean,-5.415,-5.595,-4.000,2,neutral,-0.330
DK,1963,JFM,frost_days,82.953,43.880,28.309,2,neutral,-0.330
DK,1963,JFM,ice_days,46.617,33.771,31.711,2,neutral,-0.330
DK,1963,JFM,precip,70.633,-79.414,-57.327,3,neutral,-0.330
DK,1963,JFM,precip_days,19.333,-9.778,-7.934,3,neutral,-0.330
DK,1963,JFM,thaw_days,42.337,-33.609,-32.460,2,neutral,-0.330
DK,1963,JFM,tmax_mean,-0.452,-4.734,-3.673,2,neutral,-0.330
DK,1963,JFM,tmean,-3.130,-5.130,-3.935,2,neutral,-0.330
DK,1963,JFM,tmin_mean,-5.704,-5.793,-4.090,2,neutral,-0.330
DK,1963,NDJFM,frost_days,109.400,54.988,36.068,2,neutral,-0.330
DK,1963,NDJFM,ice_days,59.062,41.269,41.100,2,neutral,-0.330
DK,1963,NDJFM,precip,167.767,-106.490,-98.799,3,neutral,-0.330
DK,1963,NDJFM,precip_days,37.000,-16.960,-14.816,3,neutral,-0.330
DK,1963,NDJFM,thaw_days,90.404,-41.955,-42.171,2,neutral,-0.330
DK,1963,NDJFM,tmax_mean,1.367,-3.574,-2.909,2,neutral,-0.330
DK,1963,NDJFM,tmean,-0.972,,-2.949,2,neutral,-0.330
DK,1963,NDJFM,tmin_mean,-3.242,-4.255,-2.901,2,neutral,-0.330
DK,1964,DJF,frost_days,57.633,18.830,5.989,2,elnino,0.950
DK,1964,DJF,ice_days,14.661,0.374,-1.595,2,elnino,0.950
DK,1964,DJF,precip,54.400,-123.000,-98.893,3,elnino,0.950
DK,1964,DJF,precip_days,14.333,-21.684,-16.425,3,elnino,0.950
DK,1964,DJF,thaw_days,76.339,0.893,2.936,2,elnino,0.950
DK,1964,DJF,tmax_mean,2.950,-0.520,-0.059,2,elnino,0.950
DK,1964,DJF,tmean,0.754,,-0.198,2,elnino,0.950
DK,1964,DJF,tmin_mean,-1.394,-1.575,-0.016,2,elnino,0.950
DK,1964,JFM,frost_days,63.839,24.765,9.570,2,elnino,0.950
DK,1964,JFM,ice_days,11.050,-0.129,-3.693,2,elnino,0.950
DK,1964,JFM,precip,48.667,-104.164,-79.700,3,elnino,0.950
DK,1964,JFM,precip_days,12.000,-19.778,-15.337,3,elnino,0.950
DK,1964,JFM,thaw_days,79.950,1.291,4.992,2,elnino,0.950
DK,1964,JFM,tmax_mean,2.961,-1.047,-0.298,2,elnino,0.950
DK,1964,JFM,tmean,0.756,-1.068,-0.087,2,elnino,0.950
DK,1964,JFM,tmin_mean,-1.435,-1.524,0.140,2,elnino,0.950
DK,1964,NDJFM,frost_days,85.358,30.945,12.478,2,elnino,0.950
DK,1964,NDJFM,ice_days,17.687,1.362,-0.122,2,elnino,0.950
DK,1964,NDJFM,precip,199.233,-81.590,-67.702,3,elnino,0.950
DK,1964,NDJFM,precip_days,34.667,-22.960,-17.210,3,elnino,0.950
